p'_data,U_ro_data
0.13 ,35.64 
0.33 ,36.60 
0.53 ,38.15 
0.73 ,38.61 
0.93 ,38.72 
1.13 ,38.83 
1.33 ,38.87 
1.53 ,38.90 
1.63 ,38.94 
1.73 ,38.95 
1.83 ,39.00 
1.93 ,39.00 
2.03 ,39.02 
2.13 ,39.04 
2.23 ,39.05 
2.33 ,39.06 
2.43 ,39.09 
2.53 ,39.11 
2.73 ,39.14 
2.93 ,39.18 
3.13 ,39.22 
3.33 ,39.28 
3.53 ,39.34 
3.73 ,39.37 
3.93 ,39.44 
4.13 ,39.48 
4.33 ,39.56 
4.53 ,39.62 
4.73 ,39.72 
4.93 ,39.91 
5.13 ,39.97 
5.33 ,40.05 
5.53 ,40.13 
5.73 ,40.24 
6.13 ,40.41 
6.53 ,40.67 
6.93 ,40.97 
7.33 ,41.18 
7.73 ,41.49 
8.13 ,41.80 
8.53 ,42.08 
8.93 ,42.48 
9.33 ,42.75 
9.73 ,43.19
