p'_data,U_ro_data
0.38621503,36.83935803
0.58621503,38.28195397
0.78621503,38.53565622
0.98621503,38.6180204
1.78621503,38.71056506
1.88621503,38.72399531
2.18621503,38.75679231
2.28621503,38.77023494
2.38621503,38.78368115
2.48621503,38.79713095
2.68621503,38.81651705
2.78621503,38.83750184
2.98621503,38.87196497
3.18621503,38.89891498
3.38621503,38.94096113
3.58621503,38.96794746
3.78621503,39.01005009
3.98621503,39.09755659
4.18621503,39.12462446
4.38621503,39.17442929
4.58621503,39.21669861
4.78621503,39.25900164
4.98621503,39.31652859
5.18621503,39.3969352
5.38621503,39.4393805
5.58621503,39.51234528
5.78621503,39.56251055
5.98621503,39.61272149
6.18621503,39.68591614
6.38621503,39.79750788
6.58621503,39.84026084
6.78621503,39.92143061
7.18621503,40.07641376
7.58621503,40.26269934
7.98621503,40.45731836
8.38621503,40.65256212
8.78621503,40.81723561
9.18621503,41.08401199
9.58621503,41.32831542
9.98621503,41.64451814
10.38621503,41.86709718
10.78621503,42.1142159
11.18621503,42.36218425
