p'_data,U_ro_data
0.14 ,35.22 
0.34 ,36.27 
0.54 ,37.59 
0.74 ,38.22 
0.94 ,38.59 
1.14 ,38.74 
1.34 ,38.82 
1.54 ,38.90 
1.74 ,38.98 
1.94 ,39.02 
2.04 ,39.05 
2.14 ,39.07 
2.24 ,39.08 
2.34 ,39.11 
2.54 ,39.13 
2.74 ,39.15 
2.94 ,39.17 
3.14 ,39.19 
3.34 ,39.21 
3.54 ,39.23 
3.74 ,39.25 
3.94 ,39.32 
4.14 ,39.33 
4.34 ,39.34 
4.54 ,39.36 
4.74 ,39.38 
4.94 ,39.41 
5.14 ,39.44 
5.34 ,39.46 
5.54 ,39.47 
5.74 ,39.51 
6.14 ,39.56 
6.54 ,39.60 
6.94 ,39.67 
7.34 ,39.74 
7.74 ,39.80 
8.14 ,39.87 
8.54 ,39.95 
8.94 ,40.01 
9.34 ,40.08 
9.74 ,40.16 
10.14 ,40.25 
10.54 ,40.32 
10.94 ,40.43 
11.34 ,40.51 
11.74 ,40.63 
12.14 ,40.72 
12.54 ,40.83 
12.94 ,40.96 
13.34 ,41.03 
13.74 ,41.13 
14.24 ,41.28 
14.74 ,41.43 
15.24 ,41.78 
