p'_data,U_ro_data
0.10 ,35.48 
0.30 ,36.41 
0.50 ,37.81 
0.70 ,38.56 
0.90 ,38.60 
1.10 ,38.61 
1.30 ,38.61 
1.50 ,38.61 
1.70 ,38.62 
2.10 ,38.62 
2.30 ,38.62 
2.50 ,38.62 
2.70 ,38.63 
2.90 ,38.63 
3.10 ,38.64 
3.30 ,38.64 
3.50 ,38.64 
3.70 ,38.65 
3.90 ,38.65 
4.10 ,38.67 
4.30 ,38.67 
4.50 ,38.67 
4.70 ,38.67 
4.90 ,38.72 
5.10 ,38.73 
5.30 ,38.73 
5.50 ,38.75 
5.70 ,38.76 
6.10 ,38.77 
6.50 ,38.82 
6.90 ,38.86 
7.30 ,38.90 
7.70 ,38.92 
8.10 ,38.99 
8.50 ,39.03 
8.90 ,39.06 
9.30 ,39.13 
9.70 ,39.19 
10.10 ,39.23 
10.50 ,39.30 
10.90 ,39.36 
11.30 ,39.43 
11.70 ,39.49 
12.10 ,39.55 
12.50 ,39.61 
12.90 ,39.68 
13.30 ,39.75 
13.70 ,39.83 
14.20 ,39.92 
14.70 ,40.02 
15.20 ,40.14 
15.70 ,40.24
