p'_data,U_ro_data
0.12 ,35.10 
0.32 ,36.07 
0.52 ,37.14 
0.72 ,37.49 
0.92 ,37.60 
1.12 ,37.67 
1.32 ,37.70 
1.52 ,37.75 
1.62 ,37.77 
1.72 ,37.78 
1.82 ,37.80 
1.92 ,37.82 
2.02 ,37.83 
2.12 ,37.84 
2.22 ,37.86 
2.32 ,37.86 
2.42 ,37.88 
2.52 ,37.89 
2.72 ,37.91 
2.92 ,37.93 
3.12 ,37.94 
3.32 ,37.97 
3.52 ,37.99 
3.72 ,38.02 
3.92 ,38.04 
4.12 ,38.05 
4.32 ,38.07 
4.52 ,38.11 
4.72 ,38.13 
4.92 ,38.21 
5.12 ,38.24 
5.32 ,38.26 
5.52 ,38.28 
5.72 ,38.31 
6.12 ,38.37 
6.52 ,38.43 
6.92 ,38.51 
7.32 ,38.58 
7.72 ,38.68 
8.12 ,38.79 
8.52 ,38.86 
8.92 ,38.93 
9.32 ,39.05 
9.72 ,39.13 
10.12 ,39.27 
10.52 ,39.39 
10.92 ,39.49 
11.12 ,39.55 
11.32 ,39.60 
11.72 ,39.73 
12.12 ,39.87 
12.52 ,40.04 
12.92 ,40.13 
13.32 ,40.26 
13.72 ,40.50 
14.22 ,40.65 
14.72 ,40.88 
