p'_data,U_ro_data
0.37444705,36.53102791
0.57444705,38.2893967
0.77444705,39.09992711
0.97444705,39.30458497
1.17444705,39.41581697
1.37444705,39.48113033
1.57444705,39.53126706
1.67444705,39.61360585
1.77444705,39.63490834
1.87444705,39.656219
1.97444705,39.66989184
2.07444705,39.68356803
2.17444705,39.69724757
2.27444705,39.71093045
2.37444705,39.72461667
2.47444705,39.73830623
2.57444705,39.75199912
2.77444705,39.77939489
2.97444705,39.79914039
3.17444705,39.81889278
3.37444705,39.83865205
3.57444705,39.85841818
3.77444705,39.87051798
3.97444705,39.89029516
4.17444705,39.91007919
4.37444705,39.92218993
4.57444705,39.94966772
4.77444705,39.96178681
4.97444705,39.96622244
5.17444705,39.99372125
5.37444705,40.00584958
5.57444705,40.02567333
5.77444705,40.04550385
6.17444705,40.09288693
6.57444705,40.12489346
6.77444705,40.13704911
7.17444705,40.19222106
7.57444705,40.21656267
7.77444705,40.24417933
8.37444705,40.37352086
8.77444705,40.39793643
8.97444705,40.41014791
9.17444705,40.43010737
9.37444705,40.45007341
9.57444705,40.47779759
9.77444705,40.49777927
9.97444705,40.53328377
10.17444705,40.54552242
10.37444705,40.5732899
10.57444705,40.60883807
10.77444705,40.64440669
10.97444705,40.66444253
11.37444705,40.7278798
11.57444705,40.76351645
11.77444705,40.78359051
11.97444705,40.81925874
12.17444705,40.84714836
12.37444705,40.87505024
12.57444705,40.91076999
12.77444705,40.94650974
12.97444705,41.09176954
13.37444705,41.13213043
