p'_data,U_ro_data
0.26 ,36.23 
0.46 ,37.50 
0.66 ,38.71 
0.86 ,38.80 
1.06 ,38.84 
1.26 ,38.87 
1.46 ,38.90 
1.66 ,38.92 
1.86 ,38.94 
2.06 ,38.95 
2.26 ,38.97 
2.46 ,38.99 
2.66 ,39.03 
2.86 ,39.03 
3.06 ,39.04 
3.26 ,39.06 
3.46 ,39.06 
3.66 ,39.06 
4.06 ,39.08 
4.46 ,39.10 
4.86 ,39.11 
5.26 ,39.13 
5.66 ,39.15 
5.86 ,39.20 
6.06 ,39.20 
6.26 ,39.21 
6.46 ,39.22 
6.66 ,39.24 
7.06 ,39.26 
7.46 ,39.28 
7.86 ,39.30 
8.26 ,39.34 
8.66 ,39.36 
9.06 ,39.40 
9.46 ,39.43 
9.86 ,39.47 
10.26 ,39.51 
10.66 ,39.55 
11.06 ,39.60 
11.46 ,39.64 
11.86 ,39.68 
12.26 ,39.74 
12.66 ,39.78 
13.06 ,39.83 
13.46 ,39.88 
13.86 ,39.94 
14.26 ,39.99 
14.66 ,40.04 
15.06 ,40.11 
15.46 ,40.17 
15.86 ,40.24 
16.26 ,40.38 
16.66 ,40.42 
17.06 ,40.49 
17.46 ,40.54 
17.66 ,40.60
