p'_data,U_ro_data
0.25 ,35.65 
0.45 ,36.98 
0.65 ,38.33 
0.85 ,38.48 
1.05 ,38.50 
1.25 ,38.53 
1.45 ,38.54 
1.65 ,38.56 
1.85 ,38.56 
2.05 ,38.56 
2.25 ,38.57 
2.45 ,38.57 
2.65 ,38.58 
2.85 ,38.57 
3.05 ,38.58 
3.25 ,38.58 
3.45 ,38.58 
3.65 ,38.61 
4.05 ,38.61 
4.45 ,38.62 
4.85 ,38.62 
5.25 ,38.62 
5.65 ,38.62 
5.85 ,38.61 
6.05 ,38.61 
6.25 ,38.61 
6.65 ,38.62 
7.05 ,38.62 
7.45 ,38.63 
7.85 ,38.64 
8.25 ,38.64 
8.65 ,38.65 
9.05 ,38.65 
9.45 ,38.66 
9.85 ,38.67 
10.25 ,38.67 
10.65 ,38.68 
11.05 ,38.68 
11.45 ,38.69 
11.85 ,38.70 
12.25 ,38.71 
12.65 ,38.72 
13.05 ,38.73 
13.45 ,38.74 
13.85 ,38.75 
14.25 ,38.75 
14.65 ,38.77 
15.05 ,38.78 
15.45 ,38.79 
15.85 ,38.81 
16.25 ,38.83 
16.65 ,38.84
