p'_data,U_ro_data
0.29 ,36.03 
0.49 ,37.39 
0.69 ,38.26 
0.89 ,38.36 
1.09 ,38.47 
1.29 ,38.54 
1.49 ,38.60 
1.59 ,38.59 
1.89 ,38.63 
2.09 ,38.67 
2.29 ,38.69 
2.49 ,38.70 
2.69 ,38.70 
2.99 ,38.71 
3.29 ,38.72 
3.59 ,38.73 
3.89 ,38.74 
4.09 ,38.75 
4.29 ,38.75 
4.49 ,38.76 
4.69 ,38.76 
4.89 ,38.83 
5.09 ,38.83 
5.29 ,38.84 
5.49 ,38.84 
5.69 ,38.84 
6.09 ,38.85 
6.49 ,38.85 
6.89 ,38.87 
7.29 ,38.87 
7.69 ,38.88 
8.09 ,38.88 
8.49 ,38.90 
8.89 ,38.91 
9.29 ,38.92 
9.69 ,38.92 
10.09 ,38.94 
10.49 ,38.95 
10.89 ,38.96 
11.29 ,38.97 
11.69 ,38.99 
12.09 ,39.00 
12.49 ,39.01 
12.89 ,39.03 
13.29 ,39.04 
13.69 ,39.06 
14.19 ,39.09 
14.69 ,39.11 
15.19 ,39.15 
15.69 ,39.17
